recording name,recording_url,phrase_start_time,prase_end_time,phrase_start_line,phrase_start_word,phrase_end_line,phrase_end_word
reading 1942,data/1942.mp3,,,1,1,2,2
reading 1942,data/1942.mp3,,,3,1,3,4
reading 1942,data/1942.mp3,,,5,1,6,1
reading 1942,data/1942.mp3,,,7,1,9,1
reading 1942,data/1942.mp3,,,9,2,9,3
reading 1942,data/1942.mp3,,,9,4,9,4
reading 1942,data/1942.mp3,,,10,1,10,2
reading 1942,data/1942.mp3,,,11,1,13,2
reading 1942,data/1942.mp3,,,13,3,15,6
reading from 1945,data/1945.mp3,,,1,1,2,2
reading from 1945,data/1945.mp3,,,3,1,3,4
reading from 1945,data/1945.mp3,,,5,1,5,3
reading from 1945,data/1945.mp3,,,5,4,6,1
reading from 1945,data/1945.mp3,,,7,1,7,4
reading from 1945,data/1945.mp3,,,7,5,9,1
reading from 1945,data/1945.mp3,,,9,2,9,3
reading from 1945,data/1945.mp3,,,9,4,9,4
reading from 1945,data/1945.mp3,,,10,1,10,2
reading from 1945,data/1945.mp3,,,11,1,11,2
reading from 1945,data/1945.mp3,,,11,3,13,2
reading from 1945,data/1945.mp3,,,13,3,15,6
1950 reading,data/1950.mp3,,,1,1,2,2
1950 reading,data/1950.mp3,,,3,1,3,2
1950 reading,data/1950.mp3,,,3,3,5,3
1950 reading,data/1950.mp3,,,5,4,6,1
1950 reading,data/1950.mp3,,,7,1,7,4
1950 reading,data/1950.mp3,,,7,5,9,1
1950 reading,data/1950.mp3,,,9,2,9,3
1950 reading,data/1950.mp3,,,9,4,9,4
1950 reading,data/1950.mp3,,,10,1,10,2
1950 reading,data/1950.mp3,,,11,1,11,2
1950 reading,data/1950.mp3,,,11,3,13,2
1950 reading,data/1950.mp3,,,13,3,15,2
1950 reading,data/1950.mp3,,,15,3,15,6
reading from 1952,data/1952.mp3,,,1,1,2,2
reading from 1952,data/1952.mp3,,,3,1,3,2
reading from 1952,data/1952.mp3,,,3,3,3,3
reading from 1952,data/1952.mp3,,,5,1,6,1
reading from 1952,data/1952.mp3,,,7,1,9,1
reading from 1952,data/1952.mp3,,,9,2,9,3
reading from 1952,data/1952.mp3,,,9,4,9,4
reading from 1952,data/1952.mp3,,,10,1,10,2
reading from 1952,data/1952.mp3,,,11,1,11,2
reading from 1952,data/1952.mp3,,,11,3,13,2
reading from 1952,data/1952.mp3,,,13,3,15,2
reading from 1952,data/1952.mp3,,,15,3,15,6
